127.0.0.1 - - [26/Feb/2026:11:35:21 +0000] "GET / HTTP/1.1" 404 681
0:0:0:0:0:0:0:1 - - [26/Feb/2026:12:42:07 +0000] "GET /ecommerce-electronique/resources/images/produits//images/chargeurgan.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:12:42:07 +0000] "GET /ecommerce-electronique/resources/images/produits//images/hububsc.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:12:42:07 +0000] "GET /ecommerce-electronique/resources/images/produits//images/ipadairm2.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:12:42:07 +0000] "GET /ecommerce-electronique/resources/images/produits//images/iphone15pro.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:12:42:07 +0000] "GET /ecommerce-electronique/resources/images/produits//images/jblcharge5.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:12:42:07 +0000] "GET /ecommerce-electronique/resources/images/produits//images/macbookairm3.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:12:42:07 +0000] "GET /ecommerce-electronique/resources/images/produits//images/galaxys24.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:12:42:07 +0000] "GET /ecommerce-electronique/resources/images/produits//images/galaxytabs9.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:12:42:13 +0000] "GET /ecommerce-electronique/resources/images/produits//images/sonywh1000xm5.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:12:42:13 +0000] "GET /ecommerce-electronique/resources/images/produits//images/xiaomi14.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:12:52:45 +0000] "GET /ecommerce-electronique/login HTTP/1.1" 200 9517
